ticket_id,customer_id,product_id,channel,category,priority,status,created_at,resolved_at,agent_id,satisfaction_score,transcript,summary,tags,resolution_type,_source_file,_loaded_at
TKT-000011,CUS-00000045,PRD-000067,phone,return,medium,resolved,2025-03-22T11:30:00,2025-03-22T11:48:22,AGT-007,4,"Agent: TechStore support, David speaking.

Customer: Hi, I'd like to return a pair of headphones. They're just not comfortable for me.

Agent: No problem, I can help with that. Do you have your order number?

Customer: Yes, ORD-2025-87654.

Agent: Thank you. I see the Noise-Canceling Headset purchased 12 days ago. That's within our 30-day return window. Is the product in original condition with all packaging?

Customer: Yes, everything is there. I only used them a few times.

Agent: Perfect. I'll email you a prepaid return label. Once we receive the item, we'll process your refund within 3-5 business days.

Customer: Can I exchange for a different model instead?

Agent: Absolutely! Which model were you interested in?

Customer: The EarPods Pro - they look smaller and might fit better.

Agent: Great choice. They're actually $30 less, so you'll get that difference refunded too. I'll set up the exchange now.

Customer: Wonderful, thank you!",Return/exchange for headphones due to comfort. Exchanged for different model.,"[""return"", ""exchange"", ""headphones"", ""comfort""]",exchange,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000012,CUS-00000178,,email,account,high,resolved,2025-03-23T07:15:00,2025-03-23T09:30:00,AGT-002,5,"From: locked.out@email.com
To: support@techstore.com
Subject: Cannot access my account - URGENT

Help! I cannot log into my account. I've tried resetting my password multiple times but never receive the reset email.

My email is locked.out@email.com and I have orders pending delivery that I need to track.

Please help!

---

From: support@techstore.com
To: locked.out@email.com
Subject: RE: Cannot access my account - URGENT

Hi,

I've investigated your account and found that your email was incorrectly changed to 'locked.outt@email.com' (with two t's) - likely a typo during a previous update.

I've corrected this and sent a password reset link to your correct email. Please check your inbox.

As a security precaution, I've also enabled two-factor authentication on your account. You can manage this in Settings after logging in.

Your pending orders are on track:
- ORD-2025-93456: Arriving March 25th
- ORD-2025-93789: Arriving March 26th

Let me know if you have any issues.

Best,
Alex
Account Security Team",Account access issue due to email typo. Corrected and 2FA enabled.,"[""account"", ""security"", ""password"", ""email""]",account_recovery,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000013,CUS-00000089,PRD-000345,chat,price_match,low,resolved,2025-03-23T15:20:00,2025-03-23T15:35:18,AGT-004,5,"Customer: I bought the ProCam 5000 last week for $599 and now I see it's on sale for $499. Can I get the difference?

Agent: Hi! Let me check our price protection policy for you. Can you provide your order number?

Customer: ORD-2025-88901

Agent: Thank you. I can see your purchase from 6 days ago. Great news - our price protection covers purchases within 14 days! I'm processing a $100 refund to your original payment method now.

Customer: That was easy! Thank you!

Agent: You're welcome! The refund will appear within 3-5 business days. Is there anything else?

Customer: No, that's perfect. Great customer service!

Agent: Thank you for the kind words! Enjoy your camera!",Price match request approved - $100 refund for recent price drop.,"[""price_match"", ""refund"", ""camera""]",price_adjustment,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000014,CUS-00000234,PRD-000123,phone,technical_support,medium,resolved,2025-03-24T10:00:00,2025-03-24T10:42:00,AGT-005,4,"Agent: TechStore support, Sarah speaking. How can I help?

Customer: Hi, I just set up my new smart TV but I can't connect it to WiFi.

Agent: I'd be happy to help. What error message are you seeing?

Customer: It says 'Connection failed - incorrect password' but I'm 100% sure the password is correct.

Agent: That's a common issue. Let's try a few things. First, is your WiFi network name visible in the TV's list?

Customer: Yes, it shows up.

Agent: Good. Sometimes the issue is with special characters. Does your WiFi password have any symbols like @, #, or &?

Customer: Yes, it has an @ symbol.

Agent: That might be the culprit. Some smart TVs have trouble with certain special characters in passwords. I'd recommend temporarily changing your WiFi password to something with only letters and numbers, connecting the TV, and then you can change it back.

Customer: Okay, let me try... [pause] ... It's connecting now!

Agent: Excellent! After the TV is connected, you can change your router password back. The TV will remember the new password.

Customer: It worked! Thank you so much!

Agent: You're welcome! Enjoy your new TV!",WiFi connection issue resolved - special character in password causing problems.,"[""technical"", ""wifi"", ""smart_tv"", ""connectivity""]",technical_resolution,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000015,CUS-00000567,PRD-000789,email,feedback,low,closed,2025-03-24T16:00:00,2025-03-25T09:00:00,AGT-001,,"From: happy.customer@email.com
To: support@techstore.com
Subject: Amazing Experience!

Hi TechStore Team,

I just wanted to reach out and say how impressed I am with your service. I ordered a standing desk last week, and not only did it arrive early, but the delivery team was incredibly professional and even helped me unbox it.

The desk itself is fantastic - exactly as described and very sturdy.

This is my third purchase from TechStore and you've earned a customer for life!

Best,
Robert

---

From: support@techstore.com
To: happy.customer@email.com
Subject: RE: Amazing Experience!

Dear Robert,

Thank you so much for taking the time to share your positive experience! Messages like yours make our day.

We're thrilled that you're happy with your standing desk and that our delivery team provided excellent service. We've shared your feedback with them.

As a token of appreciation, I've added a 15% discount code (THANKYOU15) to your account for your next purchase.

Thank you for being a loyal customer!

Warm regards,
Tom
Customer Experience Team",Positive feedback - customer praised delivery service and product quality.,"[""positive_feedback"", ""delivery"", ""standing_desk""]",feedback_acknowledged,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000016,CUS-00000012,PRD-000234,phone,product_issue,urgent,resolved,2025-03-25T08:30:00,2025-03-25T09:15:00,AGT-007,3,"Agent: TechStore support, David speaking.

Customer: My new laptop is making a burning smell! I just unplugged it. What should I do?

Agent: That's very concerning and you did the right thing unplugging it immediately. Please don't turn it back on. Can you tell me if there's any visible damage or smoke?

Customer: No smoke, just that electrical burning smell. The bottom feels very hot.

Agent: Okay, keep it in a safe place away from flammable materials and let it cool down. This is a serious safety issue. I'm going to arrange for an immediate pickup - a courier will come to your address today to collect it.

Customer: Today? That's impressive.

Agent: Yes, safety issues are our top priority. We'll have our technicians examine it, and you'll receive a replacement within 48 hours if it's confirmed defective. Can you confirm your address?

Customer: Yes, it's 123 Main Street, Apt 4B.

Agent: Perfect. Expect the courier between 2-6 PM today. You'll receive tracking info shortly.

Customer: Thank you for taking this seriously.

Agent: Absolutely. Please don't hesitate to call if you notice anything else unusual.",URGENT: Laptop burning smell - safety issue. Immediate pickup arranged.,"[""safety"", ""urgent"", ""laptop"", ""overheating"", ""defect""]",urgent_replacement,support_tickets.json,2026-02-10T22:25:28.068809
"",CUS-00000333,PRD-000111,chat,order_modification,medium,resolved,2025-03-25T12:00:00,2025-03-25T12:18:45,AGT-003,5,"Customer: Hi, I need to change my shipping address for order ORD-2025-95678

Agent: Hello! I can help with that. Let me check the order status first.

Customer: I'm moving tomorrow so it's kind of urgent

Agent: I understand. Good news - your order hasn't shipped yet, so I can update the address. What's the new address?

Customer: 456 Oak Avenue, Suite 200, Chicago, IL 60601

Agent: Got it. I've updated the shipping address to 456 Oak Avenue, Suite 200, Chicago, IL 60601. The order will ship tonight and should arrive at your new address within 3-4 business days.

Customer: Thank you so much! You saved my day!

Agent: Happy to help! Good luck with your move!",Shipping address changed before order shipped. Customer moving.,"[""address_change"", ""order_modification""]",order_modified,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000018,CUS-00000444,PRD-000555,phone,return,low,resolved,2025-03-26T09:30:00,2025-03-26T09:45:00,AGT-002,4,"Agent: TechStore support, Alex here.

Customer: Hi, I want to return a gift I received. But I don't have the receipt.

Agent: No problem, we can still help! Do you know who purchased it or do you have the gift receipt?

Customer: I have the gift receipt. The code is GR-2025-12345.

Agent: Perfect, let me look that up... I found it - a Portable Power Bank, correct?

Customer: Yes, that's it.

Agent: Great. With a gift receipt, I can issue you store credit for the purchase amount. Would that work for you?

Customer: Yes, that's fine.

Agent: Excellent. I'll email you a return shipping label. Once we receive the item, you'll get a $79.99 store credit on a gift card sent to your email. What email should I use?

Customer: gift.return@email.com

Agent: Got it. The label will arrive within an hour. Is there anything else I can help with?

Customer: No, thank you!",Gift return processed with gift receipt. Store credit issued.,"[""gift_return"", ""store_credit"", ""power_bank""]",store_credit,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000019,CUS-00000555,PRD-000666,email,complaint,high,resolved,2025-03-26T14:00:00,2025-03-27T10:00:00,AGT-006,2,"From: disappointed@email.com
To: support@techstore.com
Subject: False Advertising!!!

Your website says the UltraSound Earbuds have '24-hour battery life' but I'm lucky to get 4 hours!

This is false advertising and I want a full refund plus compensation for wasting my time.

Order: ORD-2025-97890

---

From: support@techstore.com
To: disappointed@email.com
Subject: RE: False Advertising!!!

Dear Customer,

Thank you for bringing this to our attention. I sincerely apologize for your experience.

After investigating, I found that the ""24-hour battery life"" refers to the combined usage when using the charging case (6 hours earbuds + 18 hours from case). I agree this could be clearer on our website, and I've flagged this with our marketing team for review.

Regarding your earbuds: if you're only getting 4 hours per charge, that's below the expected 6 hours and suggests a potential defect.

I'd like to offer you:
1. A full refund OR replacement earbuds
2. A $25 store credit for the inconvenience
3. Free express shipping if you choose a replacement

Please let me know how you'd like to proceed.

Sincerely,
Maria
Customer Resolutions Team

---

From: disappointed@email.com
To: support@techstore.com
Subject: RE: RE: False Advertising!!!

Okay, I appreciate the honest explanation. I'll take the replacement with the store credit.

Thank you for addressing this.

---

From: support@techstore.com
To: disappointed@email.com
Subject: RE: RE: RE: False Advertising!!!

Perfect. Your replacement is shipping today via express (arrives in 2 days), and I've added $25 store credit to your account.

Thank you for your understanding.

Best,
Maria","Complaint about battery life advertising. Clarified specs, offered replacement + credit.","[""complaint"", ""advertising"", ""earbuds"", ""battery""]",replacement_with_credit,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000020,CUS-00000666,,chat,general_inquiry,low,closed,2025-03-27T11:00:00,2025-03-27T11:12:00,AGT-004,5,"Customer: What are your holiday return policies?

Agent: Great question! For purchases made between November 15th and December 31st, we extend our return window to January 31st of the following year. This applies to all items except:
- Opened software
- Downloadable products
- Gift cards

Customer: Do I need to keep the receipt?

Agent: A receipt makes returns easier, but we can also look up purchases using your email or phone number linked to your account.

Customer: Perfect, thanks for the info!

Agent: You're welcome! Happy shopping!",General inquiry about holiday return policy. Information provided.,"[""policy"", ""returns"", ""holiday""]",information_provided,support_tickets.json,2026-02-10T22:25:28.068809
