transaction_id,order_id,customer_id,product_id,transaction_date,transaction_timestamp,quantity,unit_price,subtotal,tax_amount,tax_rate,shipping_cost,discount_amount,discount_percent,total_amount,is_gift,notes,payment_status,payment_method,shipping_method,channel,region,order_status,source_file,loaded_at
TXN-29C91E02,ORD-0000003620,CUS-00000266,PRD-000056,2024-06-06,2024-06-06,10,257.11,2571.1,411.38,0.2,8.11,514.22,20.0,2476.3700000000003,true,,pending,crypto,pickup,mobile,Middle East,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-E52B1B43,ORD-0000002143,CUS-00000701,PRD-000415,2022-05-20,2022-05-20,9,221.07,1989.63,0.0,0.0,18.26,298.44,15.0,1709.45,false,,pending,crypto,overnight,phone,Europe,CANCELLED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-1F754D99,ORD-0000003299,CUS-00000632,PRD-000057,2023-06-18,2023-06-18,2,182.34,364.68,23.34,0.08,5.28,72.94,20.0,320.35999999999996,true,,pending,credit_card,overnight,store,Middle East,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-8356BA26,ORD-0000000194,CUS-00000496,PRD-000057,2022-01-05,2022-01-05,7,182.34,1276.38,71.48,0.07,16.86,255.28,20.0,1109.4399999999998,false,,refunded,cash_on_delivery,,web,Europe,SHIPPED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-C958A78E,ORD-0000000248,CUS-00000315,PRD-000289,2022-12-12,2022-12-12,-1,887.77,887.77,0.0,0.0,0.55,0.0,0.0,-887.22,false,,refunded,bank_transfer,standard,phone,Latin America,DELIVERED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-11EB613D,ORD-0000001220,CUS-00000711,PRD-000071,2022-05-31,2022-05-31,1,964.13,964.13,64.11,0.07,11.63,48.21,5.0,991.66,false,,pending,crypto,standard,mobile,North America,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-4F764067,ORD-0000002064,CUS-00000681,PRD-000203,2023-12-05,2023-12-05,-6,600.3,3601.8,0.0,0.0,3.34,720.36,20.0,-2878.1,false,,failed,bank_transfer,express,web,Middle East,REFUNDED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-E25302E3,ORD-0000000347,CUS-00000212,PRD-000024,2024-05-15,2024-05-15,4,24.0,96.0,19.2,0.2,0.53,0.0,0.0,115.73,true,,refunded,debit_card,standard,partner,North America,REFUNDED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-856F3630,ORD-0000002737,CUS-00000873,PRD-000174,2024-01-05,2024-01-05,3,142.74,428.22,19.27,0.05,0.86,42.82,10.0,405.53000000000003,true,,refunded,credit_card,standard,store,North America,SHIPPED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-EA6D2C0A,ORD-0000002804,CUS-00000705,PRD-000352,2023-12-28,2023-12-28,5,257.51,1287.55,0.0,0.0,7.69,193.13,15.0,1102.1100000000001,false,,pending,debit_card,overnight,web,Middle East,CANCELLED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-6186FBCC,ORD-0000002516,CUS-00000137,PRD-000287,2024-02-09,2024-02-09,2,940.87,1881.74,89.38,0.05,23.28,94.09,5.0,1900.31,true,,pending,credit_card,express,web,Asia Pacific,PROCESSING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-76A616A2,ORD-0000004381,CUS-00000749,PRD-000297,2023-01-09,2023-01-09,8,867.19,6937.52,527.25,0.08,0.62,346.88,5.0,7118.51,true,Special instructions: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,pending,credit_card,pickup,phone,Asia Pacific,REFUNDED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-95EEAA70,ORD-0000004901,CUS-00000146,PRD-000492,2024-11-17,2024-11-17,4,98.56,394.24,0.0,0.0,13.17,0.0,0.0,407.41,false,,pending,credit_card,standard,phone,Europe,REFUNDED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-7034C4DD,ORD-0000003030,CUS-00000814,PRD-000023,2022-11-17,2022-11-17,7,694.86,4864.02,291.84,0.08,16.88,1216.01,25.0,3956.73,true,,paid,crypto,overnight,mobile,Asia Pacific,CANCELLED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-98B0AC73,ORD-0000004577,CUS-00000407,PRD-000019,2023-07-03,2023-07-03,4,980.9,3923.6,0.0,0.0,17.16,980.9,25.0,2959.8599999999997,true,,failed,cash_on_delivery,,partner,Asia Pacific,PROCESSING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-5CDE2DB3,ORD-0000000176,CUS-00000787,PRD-000127,2022-10-09,2022-10-09,8,980.85,7846.8,1255.49,0.2,8.19,1569.36,20.0,7541.12,true,,paid,cash_on_delivery,,web,Asia Pacific,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-56803D0E,ORD-0000002548,CUS-00000951,PRD-000143,2022-06-09,2022-06-09,7,633.24,4432.68,221.63,0.05,15.01,0.0,0.0,4669.320000000001,false,,pending,cash_on_delivery,overnight,store,Asia Pacific,REFUNDED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-AB49D536,ORD-0000002376,CUS-00000006,PRD-000414,2024-11-28,2024-11-28,4,278.03,1112.12,177.94,0.2,4.14,222.42,20.0,1071.7800000000002,true,,pending,credit_card,pickup,store,Middle East,CANCELLED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-53344A91,ORD-0000003666,CUS-00000375,PRD-000427,2024-09-11,2024-09-11,10,739.04,7390.4,591.23,0.1,13.39,1478.08,20.0,6516.9400000000005,true,Gift wrapped,pending,debit_card,standard,web,Asia Pacific,SHIPPED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-5945C894,ORD-0000000717,CUS-00000741,PRD-000422,2022-06-04,2022-06-04,8,145.93,1167.44,52.54,0.05,10.57,116.74,10.0,1113.81,false,,refunded,crypto,overnight,partner,Europe,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-C4DB15DF,ORD-0000000320,CUS-00000879,PRD-000437,2024-09-10,2024-09-10,1,36.09,36.09,0.0,0.0,11.86,1.8,5.0,46.15,false,Gift wrapped,refunded,cash_on_delivery,standard,mobile,Middle East,SHIPPED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-CEE1FC93,ORD-0000001469,CUS-00000681,PRD-000454,2022-08-07,2022-08-07,6,958.37,5750.22,0.0,0.0,1.58,0.0,0.0,5751.8,true,,pending,debit_card,standard,phone,Middle East,PROCESSING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-C59B7233,ORD-0000000886,CUS-00000682,PRD-000105,2023-08-09,2023-08-09,-7,999.6,6997.2,524.79,0.1,7.82,1749.3,25.0,-5764.87,false,,paid,credit_card,overnight,store,Asia Pacific,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-1FE9EB59,ORD-0000002891,CUS-00000392,PRD-000103,2022-09-12,2022-09-12,10,918.24,9182.4,0.0,0.0,11.31,459.12,5.0,8734.59,true,,pending,crypto,express,store,Europe,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-49E7727B,ORD-0000000885,CUS-00000597,PRD-000215,2024-07-18,2024-07-18,3,420.36,1261.08,94.58,0.1,14.52,315.27,25.0,1054.91,false,,refunded,paypal,overnight,phone,Europe,PENDING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-1DE72AF4,ORD-0000000106,CUS-00000065,PRD-000301,2022-12-27,2022-12-27,4,527.43,2109.72,0.0,0.0,20.87,105.49,5.0,2025.1,true,,refunded,crypto,overnight,phone,Middle East,SHIPPED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-A67C6B5F,ORD-0000004825,CUS-00000242,PRD-000488,2023-07-16,2023-07-16,7,631.82,4422.74,221.14,0.05,5.36,0.0,0.0,4649.24,true,,pending,cash_on_delivery,overnight,mobile,Middle East,SHIPPED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-AB400363,ORD-0000003583,CUS-00000285,PRD-000460,2024-09-11,2024-09-11,3,605.53,1816.59,108.09,0.07,21.21,272.49,15.0,1673.4,true,,refunded,paypal,standard,partner,Europe,DELIVERED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-B5E6D630,ORD-0000000050,CUS-00000446,PRD-000442,2022-06-27,2022-06-27,3,567.72,1703.16,0.0,0.0,3.66,255.47,15.0,1451.3500000000001,false,,refunded,bank_transfer,,store,Europe,PROCESSING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-F58E3B7D,ORD-0000002491,CUS-00000260,PRD-000251,2023-03-02,2023-03-02,5,901.2,4506.0,811.08,0.2,1.68,450.6,10.0,4868.16,true,,paid,paypal,,mobile,North America,PENDING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-7F90D3B9,ORD-0000003324,CUS-00000142,PRD-000306,2023-01-23,2023-01-23,8,84.36,674.88,114.73,0.2,7.5,101.23,15.0,695.88,false,,pending,debit_card,,web,Middle East,DELIVERED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-9D6E3FBA,ORD-0000000916,CUS-00000726,PRD-000144,2023-10-10,2023-10-10,9,594.68,5352.12,1070.42,0.2,21.42,0.0,0.0,6443.96,true,Gift wrapped,pending,debit_card,overnight,web,North America,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-73C593EF,ORD-0000000070,CUS-00000318,PRD-000155,2023-01-24,2023-01-24,4,750.41,3001.64,180.1,0.08,7.88,750.41,25.0,2439.21,true,,pending,crypto,,partner,Middle East,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-E8537A81,ORD-0000003445,CUS-00000132,PRD-000231,2023-02-20,2023-02-20,1,775.45,775.45,40.71,0.07,19.88,193.86,25.0,642.18,true,,paid,bank_transfer,pickup,mobile,Asia Pacific,DELIVERED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-ADD9E092,ORD-0000001839,CUS-00000582,PRD-000033,2023-04-14,2023-04-14,9,902.19,8119.71,568.38,0.07,15.86,0.0,0.0,8703.95,true,,refunded,cash_on_delivery,express,store,Middle East,PENDING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-0E481DD2,ORD-0000000336,CUS-00000070,PRD-000230,2023-10-18,2023-10-18,10,791.76,7917.6,0.0,0.0,2.32,1979.4,25.0,5940.5199999999995,false,,paid,bank_transfer,,mobile,Latin America,DELIVERED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-8B7B0D4D,ORD-0000003543,CUS-00000035,PRD-000237,2022-06-30,2022-06-30,3,977.74,2933.22,174.53,0.07,9.44,439.98,15.0,2677.21,false,,failed,credit_card,,web,Latin America,REFUNDED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-D11955A5,ORD-0000000811,CUS-00000812,PRD-000473,2022-11-04,2022-11-04,5,95.22,476.1,33.33,0.07,13.57,0.0,0.0,523.0,false,,paid,crypto,express,store,Asia Pacific,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-2C550206,ORD-0000000678,CUS-00000405,PRD-000398,2024-06-23,2024-06-23,4,375.43,1501.72,108.12,0.08,9.5,150.17,10.0,1469.17,false,,refunded,cash_on_delivery,express,phone,Middle East,DELIVERED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-33D46C86,ORD-0000003117,CUS-00000242,PRD-000467,2024-05-23,2024-05-23,5,291.91,1459.55,0.0,0.0,3.94,0.0,0.0,1463.49,false,Gift wrapped,paid,debit_card,,mobile,Europe,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-4D2541DF,ORD-0000002862,CUS-00000590,PRD-000005,2024-02-27,2024-02-27,5,913.49,4567.45,0.0,0.0,20.33,228.37,5.0,4359.41,true,Special instructions: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,pending,cash_on_delivery,express,web,Latin America,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-039E9EB4,ORD-0000001699,CUS-00000153,PRD-000411,2022-04-27,2022-04-27,5,647.4,3237.0,203.93,0.07,5.26,323.7,10.0,3122.4900000000002,true,,failed,paypal,standard,store,Asia Pacific,PROCESSING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-824B04D8,ORD-0000002787,CUS-00000267,PRD-000435,2022-09-28,2022-09-28,8,651.79,5214.32,354.57,0.08,10.22,782.15,15.0,4796.96,true,Gift wrapped,paid,paypal,,mobile,Europe,REFUNDED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-713F0EF4,ORD-0000003145,CUS-00000646,PRD-000211,2022-12-29,2022-12-29,10,899.29,8992.9,427.16,0.05,19.61,449.64,5.0,8990.03,false,,failed,crypto,express,mobile,North America,PENDING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-4CBE4DD5,ORD-0000001873,CUS-00000032,PRD-000413,2023-01-15,2023-01-15,6,215.64,1293.84,82.81,0.08,0.2,258.77,20.0,1118.0800000000002,false,,paid,debit_card,,partner,North America,REFUNDED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-B93EDB80,ORD-0000003391,CUS-00000597,PRD-000234,2024-10-01,2024-10-01,9,456.97,4112.73,287.89,0.07,4.64,0.0,0.0,4405.26,false,Special instructions: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,pending,cash_on_delivery,standard,web,Europe,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-ECA66864,ORD-0000000549,CUS-00000188,PRD-000249,2023-12-18,2023-12-18,5,711.07,3555.35,248.87,0.07,2.44,0.0,0.0,3806.66,true,Express delivery requested,refunded,crypto,overnight,phone,Asia Pacific,PROCESSING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-6E231EA9,ORD-0000003734,CUS-00000212,PRD-000378,2022-12-10,2022-12-10,6,386.48,2318.88,197.11,0.1,7.77,347.83,15.0,2175.93,true,,failed,cash_on_delivery,express,store,Asia Pacific,PROCESSING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-90E145FA,ORD-0000003944,CUS-00000250,PRD-000044,2022-08-05,2022-08-05,1,465.49,465.49,46.55,0.1,12.7,0.0,0.0,524.74,true,,refunded,cash_on_delivery,express,web,North America,DELIVERED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-5A69E34B,ORD-0000003814,CUS-00000094,PRD-000446,2023-07-13,2023-07-13,3,984.55,2953.65,147.68,0.05,10.86,0.0,0.0,3112.19,true,,pending,cash_on_delivery,express,phone,Middle East,DELIVERED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-0E48CC4E,ORD-0000002463,CUS-00000116,PRD-000290,2024-10-27,2024-10-27,5,456.14,2280.7,151.67,0.07,1.51,114.03,5.0,2319.8500000000004,false,,paid,credit_card,pickup,phone,Europe,PROCESSING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-0A802F17,ORD-0000001143,CUS-00000158,PRD-000032,2023-07-03,2023-07-03,5,997.44,4987.2,0.0,0.0,4.68,0.0,0.0,4991.88,false,,refunded,bank_transfer,pickup,mobile,North America,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-58F29C39,ORD-0000000776,CUS-00000233,PRD-000180,2023-01-12,2023-01-12,7,698.86,4892.02,352.23,0.08,8.34,489.2,10.0,4763.39,true,,refunded,cash_on_delivery,express,mobile,Asia Pacific,CANCELLED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-752CFB6E,ORD-0000001421,CUS-00000860,PRD-000253,2024-10-25,2024-10-25,5,524.46,2622.3,111.45,0.05,18.71,393.35,15.0,2359.11,false,,refunded,debit_card,standard,web,Asia Pacific,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-960CC80C,ORD-0000001601,CUS-00000343,PRD-000444,2022-03-31,2022-03-31,6,327.1,1962.6,372.89,0.2,2.53,98.13,5.0,2239.8900000000003,false,,paid,cash_on_delivery,pickup,phone,Middle East,REFUNDED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-FE0FA3B1,ORD-0000001815,CUS-00000187,PRD-000495,2024-07-13,2024-07-13,6,800.84,4805.04,0.0,0.0,19.42,0.0,0.0,4824.46,true,Special instructions: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,failed,debit_card,pickup,phone,North America,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-F47FB624,ORD-0000004425,CUS-00000065,PRD-000292,2023-09-15,2023-09-15,2,871.14,1742.28,296.19,0.2,9.31,261.34,15.0,1786.44,false,Special instructions: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,refunded,credit_card,standard,web,Middle East,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-1B414BAE,ORD-0000003077,CUS-00000852,PRD-000178,2022-01-14,2022-01-14,7,22.08,154.56,27.82,0.2,7.68,15.46,10.0,174.6,true,,refunded,paypal,pickup,store,Asia Pacific,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-B903ABE7,ORD-0000003429,CUS-00000142,PRD-000404,2024-02-04,2024-02-04,7,700.74,4905.18,0.0,0.0,16.49,0.0,0.0,4921.67,true,,paid,paypal,pickup,partner,North America,CANCELLED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-0F2BB184,ORD-0000000453,CUS-00000863,PRD-000172,2023-05-16,2023-05-16,2,944.69,1889.38,94.47,0.05,12.0,0.0,0.0,1995.85,false,,paid,cash_on_delivery,express,mobile,North America,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-1E23C27E,ORD-0000003618,CUS-00000010,PRD-000144,2024-05-14,2024-05-14,1,594.68,594.68,35.38,0.07,12.19,89.2,15.0,553.0500000000001,true,,paid,crypto,overnight,web,Europe,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-019B445D,ORD-0000000923,CUS-00000371,PRD-000257,2023-03-11,2023-03-11,6,449.78,2698.68,151.13,0.07,15.46,539.74,20.0,2325.53,true,,failed,credit_card,pickup,web,Latin America,PROCESSING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-6228DEEE,ORD-0000001958,CUS-00000077,PRD-000447,2022-05-25,2022-05-25,10,401.5,4015.0,602.25,0.2,3.24,1003.75,25.0,3616.74,true,,paid,debit_card,overnight,phone,Latin America,PROCESSING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-43BC2472,ORD-0000004325,CUS-00000544,PRD-000283,2024-04-10,2024-04-10,8,487.3,3898.4,331.36,0.1,17.17,584.76,15.0,3662.17,true,,refunded,cash_on_delivery,,phone,North America,CANCELLED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-9779E73F,ORD-0000003399,CUS-00000138,PRD-000353,2022-05-31,2022-05-31,2,907.77,1815.54,127.09,0.07,15.3,0.0,0.0,1957.93,false,,refunded,cash_on_delivery,overnight,mobile,North America,SHIPPED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-7FAC7637,ORD-0000004054,CUS-00000195,PRD-000414,2023-12-18,2023-12-18,10,278.03,2780.3,194.62,0.07,7.06,0.0,0.0,2981.98,true,,pending,crypto,overnight,store,Europe,REFUNDED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-998197D8,ORD-0000000904,CUS-00000849,PRD-000031,2022-01-09,2022-01-09,4,134.97,539.88,32.39,0.08,15.42,134.97,25.0,452.72,true,,refunded,bank_transfer,,phone,Asia Pacific,PENDING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-BEB5419D,ORD-0000004283,CUS-00000523,PRD-000208,2023-03-10,2023-03-10,2,701.06,1402.12,106.56,0.08,19.07,70.11,5.0,1457.6399999999999,true,,pending,bank_transfer,express,partner,Middle East,COMPLETED,sales_transactions.parquet,2026-02-10T22:33:04.850936
