invoice_id,vendor_id,invoice_number,invoice_date,due_date,payment_date,po_number,subtotal,tax_rate,tax_amount,shipping_handling,amount_paid,balance_due,total_amount,vendor_name,currency,payment_status,payment_method,payment_terms,approved_by,notes,created_at,updated_at,source_file,loaded_at
INV-0DA3D080,VND-002,INV-GLOBGAD-2022-00421,2022-02-18,2022-02-18,,PO-848035,451413.95999999996,0.07,31598.98,421.37,338633.2,144801.11,483434.31,Global Gadgets Ltd,USD,disputed,,NET45,jane.smith@company.com,,2022-02-18,2022-03-16,invoices.csv,2026-02-10T22:25:28.068809
INV-CF6924BA,VND-005,INV-FASHITA-2024-00466,2024-07-26,2024-07-26,,PO-278959,244390.55,0.08,19551.24,231.38,0.0,264173.17,264173.17,FashionFirst Italia,EUR,pending,credit_card,NET30,john.doe@company.com,Bulk discount applied,2024-07-26,2024-08-24,invoices.csv,2026-02-10T22:25:28.068809
INV-A23C2AD7,VND-004,INV-AUSSPORT-2024-00357,2024-10-27,2024-10-27,,,320625.33,0.08,25650.03,248.3,47739.85,298783.81,346523.66,Aussie Sports Gear,AUD,disputed,ach,NET30,,,2024-10-27,2024-11-04,invoices.csv,2026-02-10T22:25:28.068809
INV-5B3D0CB8,VND-002,INV-GLOBGAD-2023-00603,2022-03-06,2022-06-03,,PO-410073,286013.47,0.0,0.0,150.63,0.0,286164.1,286164.1,Global Gadgets Ltd,USD,pending,wire_transfer,NET45,john.doe@company.com,,2022-03-06,2022-03-17,invoices.csv,2026-02-10T22:25:28.068809
INV-3F498816,VND-005,INV-FASHITA-2023-00303,2022-06-07,2022-07-06,2022-06-26,PO-810780,300211.08999999997,0.08,24016.89,54.09,324282.07,0.0,324282.07,FashionFirst Italia,EUR,paid,,NET30,procurement@company.com,,2022-06-07,2022-06-23,invoices.csv,2026-02-10T22:25:28.068809
INV-CB6B6689,VND-006,INV-BOOKWRLD-2023-00530,2023-09-01,2023-09-01,,PO-640530,349500.42,0.07,24465.03,294.23,51088.03,323171.65,374259.68,BookWorld Publishing,GBP,disputed,check,NET15,jane.smith@company.com,Price negotiated,2023-09-01,2023-09-07,invoices.csv,2026-02-10T22:25:28.068809
INV-75B5A19F,VND-004,INV-AUSSPORT-2023-00076,2022-01-10,2022-10-01,2022-01-29,PO-321183,312513.36,0.2,62502.67,141.05,375157.08,0.0,375157.08,Aussie Sports Gear,AUD,paid,,NET30,,Quality inspection required,2022-01-10,2022-01-15,invoices.csv,2026-02-10T22:25:28.068809
INV-51CBC583,VND-001,INV-TECHFLOW-2022-00134,2022-05-27,2022-05-27,2022-07-08,PO-858916,101948.09999999999,0.1,10194.81,341.46,59061.32,53423.05,112484.37,TechFlow Electronics,USD,partial,check,NET30,john.doe@company.com,,2022-05-27,2022-07-08,invoices.csv,2026-02-10T22:25:28.068809
INV-394A41A0,VND-004,INV-AUSSPORT-2022-00502,2023-05-24,2023-05-24,,PO-540598,600049.18,0.1,60004.92,476.77,565712.01,94818.86,660530.87,Aussie Sports Gear,AUD,disputed,credit_card,NET30,john.doe@company.com,,2023-05-24,2023-05-29,invoices.csv,2026-02-10T22:25:28.068809
INV-64E94641,VND-007,INV-MAPLETOY-2024-00310,2023-12-16,2023-12-16,2023-12-28,PO-942731,271879.41000000003,0.08,21750.35,48.11,293677.87,0.0,293677.87,MapleCraft Toys,CAD,paid,ach,NET30,,Quality inspection required,2023-12-16,2023-12-20,invoices.csv,2026-02-10T22:25:28.068809
INV-8396FD75,VND-002,INV-GLOBGAD-2024-00583,2022-12-09,2022-09-12,2023-01-18,PO-860442,93350.88,0.07,6534.56,41.84,44475.97,55451.31,99927.28,Global Gadgets Ltd,USD,partial,check,NET45,procurement@company.com,,2022-12-09,2023-02-04,invoices.csv,2026-02-10T22:25:28.068809
INV-5219FA55,VND-006,INV-BOOKWRLD-2023-00446,2024-10-02,2024-02-10,,PO-628194,380168.17000000004,0.07,26611.77,0.0,168094.66,233451.93,401546.59,BookWorld Publishing,GBP,overdue,ach,NET15,jane.smith@company.com,,2024-10-02,2024-10-15,invoices.csv,2026-02-10T22:25:28.068809
INV-1E461C3E,VND-007,INV-MAPLETOY-2022-00059,2022-03-04,2022-04-03,,PO-404560,44498.36,0.07,3114.89,15.24,5279.05,42349.44,47628.49,MapleCraft Toys,CAD,overdue,ach,NET30,jane.smith@company.com,,2022-03-04,2022-04-18,invoices.csv,2026-02-10T22:25:28.068809
INV-075030A7,VND-004,INV-AUSSPORT-2022-00147,2024-11-16,2024-11-16,2025-01-13,PO-387874,261993.76,0.08,20959.5,0.0,282953.26,0.0,282953.26,Aussie Sports Gear,AUD,paid,ach,NET30,john.doe@company.com,Quality inspection required,2024-11-16,2024-11-28,invoices.csv,2026-02-10T22:25:28.068809
INV-EF92F09A,VND-006,INV-BOOKWRLD-2022-00460,2023-08-03,2023-03-08,,PO-839382,15797.43,0.1,1579.74,499.89,9109.73,8767.33,17877.06,BookWorld Publishing,GBP,disputed,check,NET15,procurement@company.com,,2023-08-03,2023-08-16,invoices.csv,2026-02-10T22:25:28.068809
INV-593B73FA,VND-003,INV-NORDHOME-2023-00182,2022-07-10,2022-07-10,,PO-703493,253165.47999999998,0.0,0.0,251.56,36420.24,216996.8,253417.04,Nordic Home Essentials,EUR,disputed,ach,NET30,john.doe@company.com,Bulk discount applied,2022-07-10,2022-08-27,invoices.csv,2026-02-10T22:25:28.068809
INV-430D933F,VND-005,INV-FASHITA-2024-00390,2023-01-15,2023-01-15,2023-02-09,PO-389162,130349.25,0.0,0.0,486.7,43989.05,86846.9,130835.95,FashionFirst Italia,EUR,partial,,NET30,,,2023-01-15,2023-02-03,invoices.csv,2026-02-10T22:25:28.068809
INV-0F9CEB5F,VND-008,INV-BEAUTYBL-2022-00488,2023-10-23,2023-10-23,,PO-966266,239865.51,0.0,0.0,106.51,137589.45,102382.57,239972.02,BeautyBliss Cosmetics,EUR,overdue,credit_card,NET30,,,2023-10-23,2023-12-17,invoices.csv,2026-02-10T22:25:28.068809
INV-830E5B83,VND-002,INV-GLOBGAD-2024-00345,2023-08-22,2023-08-22,2023-09-04,,239874.22,0.07,16791.2,0.0,256665.42,0.0,256665.42,Global Gadgets Ltd,USD,paid,credit_card,NET45,procurement@company.com,,2023-08-22,2023-09-13,invoices.csv,2026-02-10T22:25:28.068809
INV-F11A315D,VND-007,INV-MAPLETOY-2023-00288,2022-10-10,2022-10-10,2022-10-16,PO-235353,167490.7,0.2,33498.14,192.83,201181.67,0.0,201181.67,MapleCraft Toys,CAD,paid,ach,NET30,,,2022-10-10,2022-10-22,invoices.csv,2026-02-10T22:25:28.068809
INV-A85DE604,VND-001,INV-TECHFLOW-2022-00237,2022-07-21,2022-07-21,,PO-783016,113453.48999999999,0.08,9076.28,4.04,14634.96,107898.85,122533.81,TechFlow Electronics,USD,disputed,wire_transfer,NET30,procurement@company.com,,2022-07-21,2022-07-27,invoices.csv,2026-02-10T22:25:28.068809
INV-83A20E58,VND-004,INV-AUSSPORT-2022-00244,2024-11-25,2024-11-25,,PO-119483,50431.229999999996,0.2,10086.25,1.78,49809.48,10709.78,60519.26,Aussie Sports Gear,AUD,disputed,ach,NET30,jane.smith@company.com,,2024-11-25,2024-11-26,invoices.csv,2026-02-10T22:25:28.068809
INV-CB1187D6,VND-004,INV-AUSSPORT-2024-00643,2022-12-05,2022-05-12,,PO-843687,88794.54000000001,0.2,17758.91,44.07,70402.85,36194.67,106597.52,Aussie Sports Gear,AUD,overdue,,NET30,john.doe@company.com,,2022-12-05,2023-01-21,invoices.csv,2026-02-10T22:25:28.068809
INV-E8908088,VND-005,INV-FASHITA-2022-00214,2023-01-23,2023-01-23,2023-02-09,PO-374836,335890.05000000005,0.2,67178.01,83.65,403151.71,0.0,403151.71,FashionFirst Italia,EUR,paid,,NET30,jane.smith@company.com,Price negotiated,2023-01-23,2023-02-08,invoices.csv,2026-02-10T22:25:28.068809
INV-76DA4FEC,VND-001,INV-TECHFLOW-2023-00447,2023-09-23,2023-09-23,,PO-289671,308400.75,0.2,61680.15,261.39,0.0,370342.29,370342.29,TechFlow Electronics,USD,pending,,NET30,john.doe@company.com,,2023-09-23,2023-11-11,invoices.csv,2026-02-10T22:25:28.068809
INV-62FE7927,VND-003,INV-NORDHOME-2022-00010,2022-09-29,2022-09-29,,PO-315349,11017.65,0.21,2313.71,187.01,0.0,13518.37,13518.37,Nordic Home Essentials,EUR,pending,ach,NET30,procurement@company.com,,2022-09-29,2022-11-05,invoices.csv,2026-02-10T22:25:28.068809
INV-5001E0D2,VND-007,INV-MAPLETOY-2023-00361,2022-12-13,2022-12-13,2023-01-21,PO-128174,590094.38,0.2,118018.88,0.0,324380.92,383732.34,708113.26,MapleCraft Toys,CAD,partial,,NET30,john.doe@company.com,,2022-12-13,2023-01-07,invoices.csv,2026-02-10T22:25:28.068809
INV-2226EC9D,VND-003,INV-NORDHOME-2024-00102,2023-11-14,2023-11-14,,PO-937726,613559.13,0.08,49084.73,0.0,189694.46,472949.4,662643.86,Nordic Home Essentials,EUR,overdue,ach,NET30,procurement@company.com,,2023-11-14,2023-12-13,invoices.csv,2026-02-10T22:25:28.068809
INV-EBAB0062,VND-001,INV-TECHFLOW-2024-00756,2024-09-12,2024-12-09,2024-10-13,PO-314237,296112.35,0.08,23688.99,0.0,319801.34,0.0,319801.34,TechFlow Electronics,USD,paid,check,NET30,jane.smith@company.com,,2024-09-12,2024-10-20,invoices.csv,2026-02-10T22:25:28.068809
INV-BBE59C58,VND-005,INV-FASHITA-2024-00342,2023-04-22,2023-04-22,,PO-228430,153445.79,0.2,30689.16,381.48,122941.05,61575.38,184516.43,FashionFirst Italia,EUR,overdue,,NET30,,,2023-04-22,2023-05-23,invoices.csv,2026-02-10T22:25:28.068809
INV-57D18AD8,VND-002,INV-GLOBGAD-2023-00434,2022-05-18,2022-05-18,,PO-410799,340843.32000000007,0.08,27267.47,0.0,0.0,368110.79,368110.79,Global Gadgets Ltd,USD,pending,wire_transfer,NET45,procurement@company.com,Quality inspection required,2022-05-18,2022-06-17,invoices.csv,2026-02-10T22:25:28.068809
INV-8B6EFB14,VND-005,INV-FASHITA-2024-00195,2023-02-15,2023-02-15,2023-03-03,PO-490133,9704.64,0.21,2037.97,476.13,12218.74,0.0,12218.74,FashionFirst Italia,EUR,paid,ach,NET30,procurement@company.com,,2023-02-15,2023-02-25,invoices.csv,2026-02-10T22:25:28.068809
INV-E0783933,VND-005,INV-FASHITA-2023-00688,2022-07-08,2022-07-08,2022-08-26,PO-343795,310165.64,0.07,21711.59,0.0,331877.23,0.0,331877.23,FashionFirst Italia,EUR,paid,ach,NET30,jane.smith@company.com,,2022-08-07,2022-09-28,invoices.csv,2026-02-10T22:25:28.068809
INV-DB091E85,VND-007,INV-TECHFLOW-2023-00065,2023-03-24,2023-03-24,,PO-730745,254273.90000000002,0.05,12713.7,0.0,49568.12,217419.48,266987.6,MapleCraft Toys,CAD,overdue,credit_card,NET30,john.doe@company.com,,2023-03-24,2023-05-15,invoices.csv,2026-02-10T22:25:28.068809
INV-C2708FAD,VND-003,INV-NORDHOME-2023-00613,2022-02-18,2022-02-18,,PO-795106,24217.45,0.1,2421.75,91.44,716.22,26014.42,26730.64,Nordic Home Essentials,EUR,overdue,check,NET30,,,2022-02-18,2022-04-01,invoices.csv,2026-02-10T22:25:28.068809
INV-2BB16E28,VND-005,INV-FASHITA-2022-00641,2022-11-17,2022-11-17,,,13341.84,0.1,1334.18,225.94,3070.27,11831.69,14901.96,FashionFirst Italia,EUR,overdue,credit_card,NET30,procurement@company.com,,2022-11-17,2023-01-13,invoices.csv,2026-02-10T22:25:28.068809
INV-51D88C81,VND-007,INV-MAPLETOY-2022-00532,2022-11-09,2022-11-09,,PO-368039,77940.0,0.07,5455.8,116.18,41881.52,41630.46,83511.98,MapleCraft Toys,CAD,disputed,credit_card,NET30,john.doe@company.com,,2022-11-09,2022-11-29,invoices.csv,2026-02-10T22:25:28.068809
INV-E46B6989,VND-002,INV-GLOBGAD-2022-00700,2023-03-12,2023-12-03,2023-12-19,PO-100432,431802.48000000004,0.07,30226.17,0.0,462028.65,0.0,462028.65,Global Gadgets Ltd,USD,paid,,NET45,john.doe@company.com,,2023-12-03,2023-12-09,invoices.csv,2026-02-10T22:25:28.068809
INV-6F4EA984,VND-001,INV-TECHFLOW-2024-00740,2024-04-05,2024-05-04,2024-05-27,PO-857788,433469.45,0.08,34677.56,309.26,468456.27,0.0,468456.27,TechFlow Electronics,USD,paid,credit_card,NET30,,,2024-04-05,2024-04-07,invoices.csv,2026-02-10T22:25:28.068809
INV-3ACD0932,VND-003,INV-NORDHOME-2023-00489,2023-06-19,2023-06-19,2023-08-14,PO-413071,159857.44,0.21,33570.06,0.0,82647.36,110780.14,193427.5,Nordic Home Essentials,EUR,partial,credit_card,NET30,john.doe@company.com,Bulk discount applied,2023-06-19,2023-06-19,invoices.csv,2026-02-10T22:25:28.068809
INV-11406D9B,VND-002,INV-GLOBGAD-2022-00205,2023-01-09,2023-09-01,2023-10-06,PO-697402,185174.22,0.21,38886.59,303.07,143904.78,80459.1,224363.88,Global Gadgets Ltd,USD,partial,check,NET45,procurement@company.com,,2023-09-01,2023-09-16,invoices.csv,2026-02-10T22:25:28.068809
INV-65E86DEB,VND-008,INV-BEAUTYBL-2022-00033,2023-12-10,2023-10-12,2024-01-12,PO-937620,-61761.56999999999,0.07,-4323.31,0.0,-66084.88,0.0,-66084.88,BeautyBliss Cosmetics,EUR,paid,wire_transfer,NET30,john.doe@company.com,,2023-12-10,2023-12-23,invoices.csv,2026-02-10T22:25:28.068809
INV-2B1F180F,VND-004,INV-AUSSPORT-2023-00746,2024-01-31,2024-01-31,,PO-416519,324182.85000000003,0.21,68078.4,356.3,117337.3,275280.25,392617.55,Aussie Sports Gear,AUD,disputed,wire_transfer,NET30,john.doe@company.com,,2024-01-31,2024-03-31,invoices.csv,2026-02-10T22:25:28.068809
INV-4D0E57A7,VND-001,INV-TECHFLOW-2023-00006,2024-08-04,2024-08-04,2024-09-16,PO-339509,512584.51,0.05,25629.23,0.0,538213.74,0.0,538213.74,TechFlow Electronics,USD,paid,,NET30,procurement@company.com,Rush order,2024-08-04,2024-09-22,invoices.csv,2026-02-10T22:25:28.068809
INV-6A876B84,VND-004,INV-AUSSPORT-2024-00311,2022-03-29,2022-03-29,2022-04-23,PO-702001,1799.05,0.08,143.92,379.28,2322.25,0.0,2322.25,Aussie Sports Gear,AUD,paid,,NET30,jane.smith@company.com,,2022-03-29,2022-05-20,invoices.csv,2026-02-10T22:25:28.068809
INV-8B09037B,VND-007,INV-TECHFLOW-2023-00167,2022-09-13,2022-09-13,2022-10-15,PO-953545,85163.52,0.21,17884.34,0.0,103047.86,0.0,103047.86,MapleCraft Toys,CAD,paid,,NET30,,,2022-09-13,2022-10-12,invoices.csv,2026-02-10T22:25:28.068809
INV-DEECDA1C,VND-004,INV-AUSSPORT-2023-00143,2024-03-06,2024-03-06,2024-05-01,PO-872971,42413.920000000006,0.21,8906.92,195.22,51516.06,0.0,51516.06,Aussie Sports Gear,AUD,paid,credit_card,NET30,john.doe@company.com,,2024-03-06,2024-03-10,invoices.csv,2026-02-10T22:25:28.068809
INV-EDC271D2,VND-001,INV-TECHFLOW-2022-00524,2022-03-02,2022-03-02,,PO-513729,580510.59,0.07,40635.74,0.0,504001.15,117145.18,621146.33,TechFlow Electronics,USD,disputed,wire_transfer,NET30,,,2022-03-02,2022-03-05,invoices.csv,2026-02-10T22:25:28.068809
INV-C9979B63,VND-004,INV-AUSSPORT-2024-00682,2024-02-29,2024-02-29,2024-03-28,,51329.85,0.08,4106.39,162.36,55598.6,0.0,55598.6,Aussie Sports Gear,AUD,paid,wire_transfer,NET30,john.doe@company.com,,2024-02-29,2024-04-10,invoices.csv,2026-02-10T22:25:28.068809
INV-8ED13AF5,VND-002,INV-GLOBGAD-2022-00113,2022-10-20,2022-10-20,,PO-992406,222786.36,0.0,0.0,475.45,173555.12,49706.69,223261.81,Global Gadgets Ltd,USD,overdue,check,NET45,jane.smith@company.com,Price negotiated,2022-10-20,2022-12-08,invoices.csv,2026-02-10T22:25:28.068809
INV-29F19DE7,VND-002,INV-GLOBGAD-2023-00020,2023-09-16,2023-09-16,2023-11-18,PO-727385,253727.43,0.08,20298.19,49.07,274074.69,0.0,274074.69,Global Gadgets Ltd,USD,paid,credit_card,NET45,jane.smith@company.com,,2023-09-16,2023-09-25,invoices.csv,2026-02-10T22:25:28.068809
INV-7D8CACF0,VND-001,INV-TECHFLOW-2022-00500,2022-04-12,2022-04-12,2022-05-12,PO-434098,161467.94999999998,0.07,11302.76,333.11,173103.82,0.0,173103.82,TechFlow Electronics,USD,paid,check,NET30,jane.smith@company.com,Rush order,2022-04-12,2022-05-01,invoices.csv,2026-02-10T22:25:28.068809
INV-6336F935,VND-004,INV-AUSSPORT-2022-00322,2024-01-18,2024-01-18,,PO-292296,40827.3,0.0,0.0,103.67,31325.34,11206.11,42531.45,Aussie Sports Gear,AUD,disputed,ach,NET30,john.doe@company.com,,2024-01-18,2024-03-16,invoices.csv,2026-02-10T22:25:28.068809
INV-74230110,VND-005,INV-FASHITA-2024-00542,2024-10-14,2024-10-14,2024-10-01,PO-725110,33521.4,0.2,6704.28,0.0,21498.28,18727.4,40225.68,FashionFirst Italia,EUR,partial,wire_transfer,NET30,jane.smith@company.com,,2024-10-14,2024-11-12,invoices.csv,2026-02-10T22:25:28.068809
INV-A149950E,VND-002,INV-GLOBGAD-2022-00258,2024-07-03,2024-03-07,,PO-280875,203094.9,0.1,20309.49,418.61,0.0,223823.0,223823.0,Global Gadgets Ltd,EUR,pending,credit_card,NET45,john.doe@company.com,,2024-07-03,2024-08-02,invoices.csv,2026-02-10T22:25:28.068809
INV-45FD3255,VND-006,INV-BOOKWRLD-2022-00269,2024-02-21,2024-02-21,,PO-764994,499190.62,0.07,34943.34,0.0,0.0,534133.96,534133.96,BookWorld Publishing,GBP,pending,credit_card,NET15,,Damaged items replaced,2024-02-21,2024-04-05,invoices.csv,2026-02-10T22:25:28.068809
INV-0A5187A4,VND-004,INV-AUSSPORT-2023-00781,2024-07-18,2024-07-18,,PO-703001,357167.62,0.21,75005.2,347.22,12020.41,420499.63,432520.04,Aussie Sports Gear,AUD,disputed,wire_transfer,NET30,jane.smith@company.com,,2024-07-18,2024-09-10,invoices.csv,2026-02-10T22:25:28.068809
INV-7896C679,VND-002,INV-GLOBGAD-2022-00498,2022-09-02,2022-02-09,,PO-362633,296771.19,0.1,29677.12,248.17,193475.9,133220.58,326696.48,Global Gadgets Ltd,USD,overdue,credit_card,NET45,procurement@company.com,,2022-09-02,2022-09-19,invoices.csv,2026-02-10T22:25:28.068809
INV-5D6B2F8C,VND-005,INV-FASHITA-2023-00204,2022-08-26,2022-08-26,2022-09-01,PO-453715,768508.01,0.21,161386.68,223.78,930118.47,0.0,930118.47,FashionFirst Italia,EUR,paid,,NET30,jane.smith@company.com,,2022-08-26,2022-09-18,invoices.csv,2026-02-10T22:25:28.068809
INV-2618BD30,VND-004,INV-AUSSPORT-2023-00352,2022-01-27,2022-01-27,2022-02-03,PO-927964,47219.52,0.0,0.0,203.85,24995.68,22427.69,47423.37,Aussie Sports Gear,AUD,partial,ach,NET30,jane.smith@company.com,,2022-01-27,2022-03-03,invoices.csv,2026-02-10T22:25:28.068809
INV-EE7FBA71,VND-008,INV-BEAUTYBL-2024-00411,2024-03-09,2024-03-09,,PO-451305,332468.93000000005,0.05,16623.45,451.04,6706.71,342836.71,349543.42,BeautyBliss Cosmetics,EUR,overdue,,NET30,,,2024-03-09,2024-03-19,invoices.csv,2026-02-10T22:25:28.068809
INV-6911263C,VND-009,INV-QUICKSUP-2022-00153,2024-06-14,2024-06-14,,PO-844544,95434.52,0.1,9543.45,0.0,0.0,104977.97,104977.97,QuickSupply Co,USD,pending,credit_card,NET30,jane.smith@company.com,,2024-06-14,2024-06-18,invoices.csv,2026-02-10T22:25:28.068809
INV-3F1919BE,VND-007,INV-MAPLETOY-2022-00714,2023-04-14,2023-04-14,,PO-165650,68309.73,0.07,4781.68,192.02,0.0,73283.43,73283.43,MapleCraft Toys,CAD,pending,ach,NET30,,Rush order,2023-04-14,2023-04-27,invoices.csv,2026-02-10T22:25:28.068809
INV-22095E76,VND-002,INV-GLOBGAD-2024-00071,2023-06-06,2023-06-06,,,34407.66,0.1,3440.77,0.0,24118.55,13729.88,37848.43,Global Gadgets Ltd,USD,overdue,,NET45,john.doe@company.com,Damaged items replaced,2023-06-06,2023-07-21,invoices.csv,2026-02-10T22:25:28.068809
INV-D7D9B1D1,VND-006,INV-BOOKWRLD-2024-00286,2022-10-13,2022-10-13,,PO-395560,402813.35000000003,0.1,40281.34,0.0,209565.66,233529.03,443094.69,BookWorld Publishing,GBP,overdue,credit_card,NET15,,Damaged items replaced,2022-10-13,2022-11-27,invoices.csv,2026-02-10T22:25:28.068809
INV-EC0CABD5,VND-007,INV-MAPLETOY-2024-00249,2024-04-29,2024-04-29,2024-05-11,PO-358335,532845.9,0.07,37299.21,0.0,570145.11,0.0,570145.11,MapleCraft Toys,CAD,paid,wire_transfer,NET30,,,2024-04-29,2024-06-05,invoices.csv,2026-02-10T22:25:28.068809
INV-F9322E85,VND-008,INV-BEAUTYBL-2023-00788,2023-07-28,2023-07-28,2023-08-10,PO-545377,140655.95,0.1,14065.6,321.17,155042.72,0.0,155042.72,BeautyBliss Cosmetics,EUR,paid,credit_card,NET30,,,2023-07-28,2023-08-11,invoices.csv,2026-02-10T22:25:28.068809
INV-BEE7F7E2,VND-006,INV-BOOKWRLD-2024-00650,2024-06-14,2024-06-14,2024-06-30,PO-438339,332616.22,0.05,16630.81,0.0,269460.38,79786.65,349247.03,BookWorld Publishing,GBP,partial,wire_transfer,NET15,jane.smith@company.com,,2024-06-14,2024-06-23,invoices.csv,2026-02-10T22:25:28.068809
INV-F0F2CA13,VND-004,INV-AUSSPORT-2024-00186,2024-09-12,2024-12-09,2024-10-11,PO-865940,17177.16,0.2,3435.43,5.89,20618.48,0.0,20618.48,Aussie Sports Gear,AUD,paid,ach,NET30,procurement@company.com,,2024-09-12,2024-09-14,invoices.csv,2026-02-10T22:25:28.068809
INV-7BF83003,VND-004,INV-AUSSPORT-2024-00348,2022-11-17,2022-11-17,,PO-263634,547859.02,0.05,27392.95,298.07,443688.0,131862.04,575550.04,Aussie Sports Gear,AUD,overdue,ach,NET30,,,2022-11-17,2022-12-13,invoices.csv,2026-02-10T22:25:28.068809
INV-7BC16926,VND-005,INV-FASHITA-2024-00786,2022-09-29,2022-09-29,,PO-636180,209674.78,0.21,44031.7,0.0,89060.72,164645.76,253706.48,FashionFirst Italia,EUR,overdue,ach,NET30,jane.smith@company.com,,2022-09-29,2022-10-17,invoices.csv,2026-02-10T22:25:28.068809
INV-1F635086,VND-006,INV-BOOKWRLD-2022-00364,2022-07-16,2022-07-16,,PO-588771,331197.94000000006,0.07,23183.86,433.53,0.0,354815.33,354815.33,BookWorld Publishing,GBP,pending,,NET15,,Rush order,2022-07-16,2022-07-23,invoices.csv,2026-02-10T22:25:28.068809
INV-C0B51CEF,VND-006,INV-BOOKWRLD-2024-00582,2024-05-01,2024-05-01,,PO-994873,24288.93,0.2,4857.79,158.39,0.0,29305.11,29305.11,BookWorld Publishing,GBP,pending,credit_card,NET15,procurement@company.com,,2024-05-01,2024-05-27,invoices.csv,2026-02-10T22:25:28.068809
INV-E6CED587,VND-003,INV-NORDHOME-2023-00458,2023-07-24,2023-07-24,2023-09-13,PO-692948,7283.800000000007,0.07,509.87,469.78,8263.45,0.0,8263.45,Nordic Home Essentials,EUR,paid,wire_transfer,NET30,jane.smith@company.com,,2023-07-24,2023-08-28,invoices.csv,2026-02-10T22:25:28.068809
INV-3DEDFCCC,VND-003,INV-TECHFLOW-2022-00136,2023-05-14,2023-05-14,,PO-915823,347733.94,0.2,69546.79,376.75,126801.61,290855.87,417657.48,Nordic Home Essentials,EUR,overdue,ach,NET30,procurement@company.com,,2023-05-14,2023-07-12,invoices.csv,2026-02-10T22:25:28.068809
