invoice_id,line_number,product_id,description,quantity,unit_cost,line_total,source_file,loaded_at
INV-896AFBF7,5,PRD-000359,Bulk purchase - Line 5,55,116.26,6394.3,invoices.csv,2026-02-10T22:25:28.068809
INV-896AFBF7,6,PRD-000388,Bulk purchase - Line 6,48,-44.38,-2130.24,invoices.csv,2026-02-10T22:25:28.068809
INV-FF65CD80,1,,Bulk purchase - Line 1,293,140.21,41081.53,invoices.csv,2026-02-10T22:25:28.068809
INV-4D0E57A7,1,PRD-000265,Bulk purchase - Line 1,460,444.25,204355.0,invoices.csv,2026-02-10T22:25:28.068809
INV-4D0E57A7,2,PRD-000240,Bulk purchase - Line 2,482,102.22,49270.04,invoices.csv,2026-02-10T22:25:28.068809
INV-4D0E57A7,3,PRD-000240,Bulk purchase - Line 3,390,102.22,39865.8,invoices.csv,2026-02-10T22:25:28.068809
INV-4D0E57A7,4,PRD-000164,Bulk purchase - Line 4,43,431.15,18539.45,invoices.csv,2026-02-10T22:25:28.068809
INV-4D0E57A7,5,PRD-000053,Bulk purchase - Line 5,252,110.24,27780.48,invoices.csv,2026-02-10T22:25:28.068809
INV-4D0E57A7,6,PRD-000089,Bulk purchase - Line 6,255,352.4,89862.0,invoices.csv,2026-02-10T22:25:28.068809
INV-4D0E57A7,7,PRD-000005,Bulk purchase - Line 7,229,362.06,82911.74,invoices.csv,2026-02-10T22:25:28.068809
INV-2307CC9C,1,PRD-000192,Bulk purchase - Line 1,446,301.82,134611.72,invoices.csv,2026-02-10T22:25:28.068809
INV-2307CC9C,2,PRD-000086,Bulk purchase - Line 2,393,17.37,6826.41,invoices.csv,2026-02-10T22:25:28.068809
INV-2307CC9C,3,PRD-000273,Bulk purchase - Line 3,458,344.21,157648.18,invoices.csv,2026-02-10T22:25:28.068809
INV-57C87084,1,PRD-000454,Bulk purchase - Line 1,154,528.52,81392.08,invoices.csv,2026-02-10T22:25:28.068809
INV-57C87084,2,PRD-000392,Bulk purchase - Line 2,-118,125.4,-14797.2,invoices.csv,2026-02-10T22:25:28.068809
INV-57C87084,3,PRD-000454,Bulk purchase - Line 3,121,528.52,63950.92,invoices.csv,2026-02-10T22:25:28.068809
INV-B5CAE17E,1,PRD-000045,Bulk purchase - Line 1,314,27.28,8565.92,invoices.csv,2026-02-10T22:25:28.068809
INV-B5CAE17E,2,PRD-000359,Bulk purchase - Line 2,476,116.26,55339.76,invoices.csv,2026-02-10T22:25:28.068809
INV-B5CAE17E,3,PRD-000394,Bulk purchase - Line 3,188,360.16,67710.08,invoices.csv,2026-02-10T22:25:28.068809
INV-62FE7927,1,PRD-000463,Bulk purchase - Line 1,245,44.97,11017.65,invoices.csv,2026-02-10T22:25:28.068809
INV-3A8F3F43,1,PRD-000478,Bulk purchase - Line 1,328,238.0,78064.0,invoices.csv,2026-02-10T22:25:28.068809
INV-3A8F3F43,2,PRD-000347,Bulk purchase - Line 2,22,153.57,3378.54,invoices.csv,2026-02-10T22:25:28.068809
INV-3A8F3F43,3,PRD-000369,Bulk purchase - Line 3,92,376.09,34600.28,invoices.csv,2026-02-10T22:25:28.068809
INV-3A8F3F43,4,PRD-000140,Bulk purchase - Line 4,493,503.17,248062.81,invoices.csv,2026-02-10T22:25:28.068809
INV-3A8F3F43,5,PRD-000253,Bulk purchase - Line 5,142,266.2,37800.4,invoices.csv,2026-02-10T22:25:28.068809
INV-3A8F3F43,6,PRD-000252,Bulk purchase - Line 6,139,420.26,58416.14,invoices.csv,2026-02-10T22:25:28.068809
INV-3A8F3F43,7,PRD-000155,Bulk purchase - Line 7,286,382.4,109366.4,invoices.csv,2026-02-10T22:25:28.068809
INV-3A8F3F43,8,PRD-000119,Bulk purchase - Line 8,327,359.44,117536.88,invoices.csv,2026-02-10T22:25:28.068809
INV-B112FD2B,1,PRD-000335,Bulk purchase - Line 1,334,281.99,94184.66,invoices.csv,2026-02-10T22:25:28.068809
INV-B112FD2B,2,PRD-000308,Bulk purchase - Line 2,88,219.54,19319.52,invoices.csv,2026-02-10T22:25:28.068809
INV-78973DAD,1,PRD-000475,Bulk purchase - Line 1,352,415.23,146160.96,invoices.csv,2026-02-10T22:25:28.068809
INV-78973DAD,2,,Bulk purchase - Line 2,68,65.89,4480.52,invoices.csv,2026-02-10T22:25:28.068809
INV-B5E84FF4,1,PRD-000453,Bulk purchase - Line 1,437,604.82,264306.34,invoices.csv,2026-02-10T22:25:28.068809
INV-B5E84FF4,2,PRD-000350,Bulk purchase - Line 2,30,402.48,12074.4,invoices.csv,2026-02-10T22:25:28.068809
INV-B5E84FF4,3,PRD-000264,Bulk purchase - Line 3,261,83.89,21895.29,invoices.csv,2026-02-10T22:25:28.068809
INV-B5E84FF4,4,PRD-000091,Bulk purchase - Line 4,476,236.21,112435.96,invoices.csv,2026-02-10T22:25:28.068809
INV-B5E84FF4,5,PRD-000075,Bulk purchase - Line 5,441,456.28,201219.48,invoices.csv,2026-02-10T22:25:28.068809
INV-B5E84FF4,6,PRD-000043,Bulk purchase - Line 6,192,163.55,31401.6,invoices.csv,2026-02-10T22:25:28.068809
INV-661FB9EC,1,,Bulk purchase - Line 1,183,136.17,24919.11,invoices.csv,2026-02-10T22:25:28.068809
INV-661FB9EC,2,,Bulk purchase - Line 2,71,87.43,6207.53,invoices.csv,2026-02-10T22:25:28.068809
INV-661FB9EC,3,,Bulk purchase - Line 3,438,36.16,15838.08,invoices.csv,2026-02-10T22:25:28.068809
INV-95C48D81,1,PRD-000390,Bulk purchase - Line 1,465,549.96,255731.4,invoices.csv,2026-02-10T22:25:28.068809
INV-95C48D81,2,PRD-000055,Bulk purchase - Line 2,277,201.25,55746.25,invoices.csv,2026-02-10T22:25:28.068809
INV-95C48D81,3,PRD-000398,Bulk purchase - Line 3,447,117.86,52683.42,invoices.csv,2026-02-10T22:25:28.068809
INV-95C48D81,4,PRD-000361,Bulk purchase - Line 4,496,287.85,142773.6,invoices.csv,2026-02-10T22:25:28.068809
INV-95C48D81,5,PRD-000089,Bulk purchase - Line 5,31,352.4,10924.4,invoices.csv,2026-02-10T22:25:28.068809
INV-95C48D81,6,PRD-000143,Bulk purchase - Line 6,58,245.54,14241.32,invoices.csv,2026-02-10T22:25:28.068809
INV-95C48D81,7,,Bulk purchase - Line 7,202,122.37,24718.74,invoices.csv,2026-02-10T22:25:28.068809
INV-95C48D81,8,PRD-000317,Bulk purchase - Line 8,498,518.66,258292.68,invoices.csv,2026-02-10T22:25:28.068809
INV-9817BEE2,1,PRD-000344,Bulk purchase - Line 1,388,372.62,144576.56,invoices.csv,2026-02-10T22:25:28.068809
INV-9817BEE2,2,PRD-000428,Bulk purchase - Line 2,424,178.88,75845.12,invoices.csv,2026-02-10T22:25:28.068809
INV-9817BEE2,3,PRD-000222,Bulk purchase - Line 3,288,392.65,113083.2,invoices.csv,2026-02-10T22:25:28.068809
INV-9817BEE2,4,PRD-000397,Bulk purchase - Line 4,353,8.02,2831.06,invoices.csv,2026-02-10T22:25:28.068809
INV-022606AB,1,PRD-000500,Bulk purchase - Line 1,461,403.5,186013.5,invoices.csv,2026-02-10T22:25:28.068809
INV-022606AB,2,PRD-000500,Bulk purchase - Line 2,269,403.5,108541.5,invoices.csv,2026-02-10T22:25:28.068809
INV-022606AB,3,PRD-000494,Bulk purchase - Line 3,468,39.95,18696.6,invoices.csv,2026-02-10T22:25:28.068809
INV-022606AB,4,PRD-000494,Bulk purchase - Line 4,302,153.03,46215.06,invoices.csv,2026-02-10T22:25:28.068809
INV-022606AB,5,PRD-000494,Bulk purchase - Line 5,45,167.23,7525.35,invoices.csv,2026-02-10T22:25:28.068809
INV-022606AB,6,PRD-000495,Bulk purchase - Line 6,199,498.07,99115.93,invoices.csv,2026-02-10T22:25:28.068809
INV-022606AB,7,,Bulk purchase - Line 7,143,129.11,18462.73,invoices.csv,2026-02-10T22:25:28.068809
INV-CDE72DDE,1,,Bulk purchase - Line 1,402,96.01,38596.02,invoices.csv,2026-02-10T22:25:28.068809
INV-CDE72DDE,2,PRD-000011,Bulk purchase - Line 2,26,444.37,11553.62,invoices.csv,2026-02-10T22:25:28.068809
INV-CDE72DDE,3,PRD-000421,Bulk purchase - Line 3,24,348.11,8354.64,invoices.csv,2026-02-10T22:25:28.068809
INV-29F19DE7,1,PRD-000098,Bulk purchase - Line 1,12,262.97,3155.64,invoices.csv,2026-02-10T22:25:28.068809
INV-29F19DE7,2,PRD-000429,Bulk purchase - Line 2,293,79.24,23217.32,invoices.csv,2026-02-10T22:25:28.068809
INV-29F19DE7,3,PRD-000473,Bulk purchase - Line 3,408,62.75,25602.0,invoices.csv,2026-02-10T22:25:28.068809
INV-29F19DE7,4,PRD-000399,Bulk purchase - Line 4,369,330.19,121840.11,invoices.csv,2026-02-10T22:25:28.068809
INV-29F19DE7,5,PRD-000299,Bulk purchase - Line 5,491,145.46,71420.86,invoices.csv,2026-02-10T22:25:28.068809
INV-29F19DE7,6,PRD-000131,Bulk purchase - Line 6,255,33.3,8491.5,invoices.csv,2026-02-10T22:25:28.068809
INV-6296ADF4,1,PRD-000152,Bulk purchase - Line 1,192,230.24,44206.08,invoices.csv,2026-02-10T22:25:28.068809
INV-6296ADF4,2,PRD-000152,Bulk purchase - Line 2,422,230.24,97161.28,invoices.csv,2026-02-10T22:25:28.068809
INV-6296ADF4,3,PRD-000214,Bulk purchase - Line 3,411,125.72,51670.92,invoices.csv,2026-02-10T22:25:28.068809
INV-BD9BFC98,1,PRD-000421,Bulk purchase - Line 1,287,348.11,99907.57,invoices.csv,2026-02-10T22:25:28.068809
INV-BD9BFC98,2,PRD-000223,Bulk purchase - Line 2,124,400.31,49638.44,invoices.csv,2026-02-10T22:25:28.068809
INV-BD9BFC98,3,PRD-000289,Bulk purchase - Line 3,237,498.76,118206.12,invoices.csv,2026-02-10T22:25:28.068809
INV-BD9BFC98,4,PRD-000015,Bulk purchase - Line 4,372,383.51,142665.72,invoices.csv,2026-02-10T22:25:28.068809
INV-BD9BFC98,5,PRD-000121,Bulk purchase - Line 5,154,423.84,65271.36,invoices.csv,2026-02-10T22:25:28.068809
INV-9B6CB99E,1,PRD-000178,Bulk purchase - Line 1,159,8.26,1313.34,invoices.csv,2026-02-10T22:25:28.068809
INV-9B6CB99E,2,PRD-000243,Bulk purchase - Line 2,266,118.28,31462.48,invoices.csv,2026-02-10T22:25:28.068809
INV-9B6CB99E,3,PRD-000303,Bulk purchase - Line 3,189,364.7,68928.3,invoices.csv,2026-02-10T22:25:28.068809
INV-9B6CB99E,4,PRD-000258,Bulk purchase - Line 4,149,15.76,2348.24,invoices.csv,2026-02-10T22:25:28.068809
INV-9B6CB99E,5,PRD-000360,Bulk purchase - Line 5,498,449.67,223935.66,invoices.csv,2026-02-10T22:25:28.068809
INV-9B6CB99E,6,PRD-000030,Bulk purchase - Line 6,110,183.19,20150.9,invoices.csv,2026-02-10T22:25:28.068809
INV-9B6CB99E,7,PRD-000258,Bulk purchase - Line 7,243,15.76,3829.68,invoices.csv,2026-02-10T22:25:28.068809
INV-90FCF8D9,1,PRD-000304,Bulk purchase - Line 1,280,278.98,78114.4,invoices.csv,2026-02-10T22:25:28.068809
INV-90FCF8D9,2,PRD-000030,Bulk purchase - Line 2,396,183.19,72543.24,invoices.csv,2026-02-10T22:25:28.068809
INV-90FCF8D9,3,PRD-000410,Bulk purchase - Line 3,21,371.21,7795.41,invoices.csv,2026-02-10T22:25:28.068809
INV-6CA7DA6E,1,PRD-000106,Bulk purchase - Line 1,414,29.48,12204.72,invoices.csv,2026-02-10T22:25:28.068809
INV-6CA7DA6E,2,PRD-000128,Bulk purchase - Line 2,431,7.66,3301.46,invoices.csv,2026-02-10T22:25:28.068809
INV-6CA7DA6E,3,PRD-000254,Bulk purchase - Line 3,129,177.27,22867.83,invoices.csv,2026-02-10T22:25:28.068809
INV-6CA7DA6E,4,PRD-000435,Bulk purchase - Line 4,298,392.79,117051.42,invoices.csv,2026-02-10T22:25:28.068809
INV-6CA7DA6E,5,PRD-000367,Bulk purchase - Line 5,295,388.84,114707.8,invoices.csv,2026-02-10T22:25:28.068809
INV-F1710D54,1,PRD-EXTERNAL-6088,Bulk purchase - Line 1,80,-37.93,-3034.4,invoices.csv,2026-02-10T22:25:28.068809
INV-F1710D54,2,PRD-000321,Bulk purchase - Line 2,430,296.45,127473.5,invoices.csv,2026-02-10T22:25:28.068809
INV-F1710D54,3,PRD-000469,Bulk purchase - Line 3,172,146.55,25206.6,invoices.csv,2026-02-10T22:25:28.068809
INV-F1710D54,4,PRD-000152,Bulk purchase - Line 4,145,230.24,33384.8,invoices.csv,2026-02-10T22:25:28.068809
INV-F1710D54,5,,Bulk purchase - Line 5,240,47.09,11301.6,invoices.csv,2026-02-10T22:25:28.068809
INV-6DB14B51,1,PRD-000105,Bulk purchase - Line 1,388,665.33,258148.04,invoices.csv,2026-02-10T22:25:28.068809
INV-D0278AAB,1,PRD-000211,Bulk purchase - Line 1,194,327.79,63591.26,invoices.csv,2026-02-10T22:25:28.068809
INV-D0278AAB,2,,Bulk purchase - Line 2,421,121.95,51340.95,invoices.csv,2026-02-10T22:25:28.068809
INV-D0278AAB,3,,Bulk purchase - Line 3,94,125.75,11820.5,invoices.csv,2026-02-10T22:25:28.068809
INV-D0278AAB,4,PRD-000141,Bulk purchase - Line 4,422,23.36,9857.92,invoices.csv,2026-02-10T22:25:28.068809
INV-D0278AAB,5,PRD-000449,Bulk purchase - Line 5,227,290.82,66016.14,invoices.csv,2026-02-10T22:25:28.068809
INV-D0278AAB,6,,Bulk purchase - Line 6,102,182.78,18643.56,invoices.csv,2026-02-10T22:25:28.068809
INV-D0278AAB,7,PRD-000298,Bulk purchase - Line 7,71,361.39,25658.69,invoices.csv,2026-02-10T22:25:28.068809
INV-F6C0B6F8,1,PRD-000044,Bulk purchase - Line 1,218,275.08,59967.44,invoices.csv,2026-02-10T22:25:28.068809
INV-F6C0B6F8,2,PRD-000288,Bulk purchase - Line 2,407,636.03,258864.21,invoices.csv,2026-02-10T22:25:28.068809
INV-F6C0B6F8,3,PRD-000441,Bulk purchase - Line 3,128,35.47,4540.16,invoices.csv,2026-02-10T22:25:28.068809
INV-F6C0B6F8,4,PRD-000039,Bulk purchase - Line 4,12,39.06,468.72,invoices.csv,2026-02-10T22:25:28.068809
INV-F6C0B6F8,5,PRD-000364,Bulk purchase - Line 5,252,127.42,32109.84,invoices.csv,2026-02-10T22:25:28.068809
INV-F6C0B6F8,6,PRD-000068,Bulk purchase - Line 6,227,386.33,87696.91,invoices.csv,2026-02-10T22:25:28.068809
INV-F6C0B6F8,7,PRD-000352,Bulk purchase - Line 7,247,121.3,29961.1,invoices.csv,2026-02-10T22:25:28.068809
INV-B366B97C,1,PRD-000010,Bulk purchase - Line 1,397,117.06,46472.82,invoices.csv,2026-02-10T22:25:28.068809
INV-B366B97C,2,PRD-000238,Bulk purchase - Line 2,308,267.7,82451.6,invoices.csv,2026-02-10T22:25:28.068809
INV-B366B97C,3,,Bulk purchase - Line 3,243,114.66,27862.38,invoices.csv,2026-02-10T22:25:28.068809
INV-B366B97C,4,PRD-000461,Bulk purchase - Line 4,476,295.42,140619.92,invoices.csv,2026-02-10T22:25:28.068809
INV-B366B97C,5,PRD-000019,Bulk purchase - Line 5,348,478.8,166622.4,invoices.csv,2026-02-10T22:25:28.068809
INV-B366B97C,6,PRD-000425,Bulk purchase - Line 6,251,15.52,3895.52,invoices.csv,2026-02-10T22:25:28.068809
INV-88603894,1,PRD-000096,Bulk purchase - Line 1,165,216.92,35791.8,invoices.csv,2026-02-10T22:25:28.068809
INV-88603894,2,PRD-000038,Bulk purchase - Line 2,325,44.58,14488.5,invoices.csv,2026-02-10T22:25:28.068809
INV-88603894,3,PRD-000095,Bulk purchase - Line 3,19,350.72,6663.68,invoices.csv,2026-02-10T22:25:28.068809
INV-FDDC8639,1,,Bulk purchase - Line 1,357,178.58,63753.06,invoices.csv,2026-02-10T22:25:28.068809
INV-FDDC8639,2,PRD-000064,Bulk purchase - Line 2,474,325.96,154505.04,invoices.csv,2026-02-10T22:25:28.068809
INV-65E86DEB,1,PRD-000435,Bulk purchase - Line 1,55,392.79,21603.45,invoices.csv,2026-02-10T22:25:28.068809
INV-65E86DEB,2,PRD-000371,Bulk purchase - Line 2,-476,184.43,-87788.68,invoices.csv,2026-02-10T22:25:28.068809
INV-65E86DEB,3,,Bulk purchase - Line 3,29,152.54,4423.66,invoices.csv,2026-02-10T22:25:28.068809
INV-855C8692,1,PRD-000434,Bulk purchase - Line 1,477,376.44,179561.88,invoices.csv,2026-02-10T22:25:28.068809
INV-855C8692,2,PRD-000031,Bulk purchase - Line 2,402,61.01,24526.02,invoices.csv,2026-02-10T22:25:28.068809
INV-855C8692,3,PRD-000400,Bulk purchase - Line 3,76,490.58,37284.08,invoices.csv,2026-02-10T22:25:28.068809
INV-855C8692,4,,Bulk purchase - Line 4,238,152.54,36304.52,invoices.csv,2026-02-10T22:25:28.068809
INV-F932F985,1,PRD-000445,Bulk purchase - Line 1,36,295.38,10633.68,invoices.csv,2026-02-10T22:25:28.068809
INV-F932F985,2,PRD-000150,Bulk purchase - Line 2,355,429.55,152490.25,invoices.csv,2026-02-10T22:25:28.068809
INV-AB06E109,1,PRD-000402,Bulk purchase - Line 1,344,108.55,37341.2,invoices.csv,2026-02-10T22:25:28.068809
INV-AB06E109,2,PRD-000422,Bulk purchase - Line 2,19,50.88,966.72,invoices.csv,2026-02-10T22:25:28.068809
INV-AB06E109,3,PRD-000489,Bulk purchase - Line 3,13,388.09,5045.17,invoices.csv,2026-02-10T22:25:28.068809
INV-AB06E109,4,PRD-000489,Bulk purchase - Line 4,183,388.09,71020.47,invoices.csv,2026-02-10T22:25:28.068809
INV-109F9168,1,PRD-000043,Bulk purchase - Line 1,132,163.55,21588.6,invoices.csv,2026-02-10T22:25:28.068809
INV-109F9168,2,,Bulk purchase - Line 2,95,54.7,5196.5,invoices.csv,2026-02-10T22:25:28.068809
INV-BCE63C83,1,PRD-000453,Bulk purchase - Line 1,331,604.82,200195.42,invoices.csv,2026-02-10T22:25:28.068809
INV-71ECE270,1,,Bulk purchase - Line 1,456,140.0,63840.0,invoices.csv,2026-02-10T22:25:28.068809
INV-71ECE270,2,PRD-000103,Bulk purchase - Line 2,479,354.34,169728.86,invoices.csv,2026-02-10T22:25:28.068809
INV-71ECE270,3,PRD-000190,Bulk purchase - Line 3,228,437.75,99807.0,invoices.csv,2026-02-10T22:25:28.068809
INV-71ECE270,4,PRD-000071,Bulk purchase - Line 4,86,548.98,47212.28,invoices.csv,2026-02-10T22:25:28.068809
INV-E6652C95,1,PRD-000410,Bulk purchase - Line 1,136,371.21,50484.56,invoices.csv,2026-02-10T22:25:28.068809
INV-1CBC81CF,1,PRD-000464,Bulk purchase - Line 1,150,453.71,68056.5,invoices.csv,2026-02-10T22:25:28.068809
INV-1CBC81CF,2,PRD-000379,Bulk purchase - Line 2,230,470.62,108242.6,invoices.csv,2026-02-10T22:25:28.068809
INV-1CBC81CF,3,PRD-000355,Bulk purchase - Line 3,282,280.63,79137.66,invoices.csv,2026-02-10T22:25:28.068809
INV-1CBC81CF,4,PRD-000481,Bulk purchase - Line 4,313,36.11,11302.43,invoices.csv,2026-02-10T22:25:28.068809
INV-A6AECF60,1,PRD-000403,Bulk purchase - Line 1,154,526.96,81151.84,invoices.csv,2026-02-10T22:25:28.068809
INV-A6AECF60,2,PRD-000347,Bulk purchase - Line 2,203,153.57,31174.71,invoices.csv,2026-02-10T22:25:28.068809
INV-61307A6B,1,,Bulk purchase - Line 1,475,123.72,58767.0,invoices.csv,2026-02-10T22:25:28.068809
INV-61307A6B,2,PRD-000146,Bulk purchase - Line 2,79,272.35,21515.65,invoices.csv,2026-02-10T22:25:28.068809
INV-61307A6B,3,PRD-000281,Bulk purchase - Line 3,110,123.08,13538.8,invoices.csv,2026-02-10T22:25:28.068809
INV-61307A6B,4,,Bulk purchase - Line 4,226,150.51,34015.26,invoices.csv,2026-02-10T22:25:28.068809
INV-61307A6B,5,PRD-000316,Bulk purchase - Line 5,223,149.26,33284.98,invoices.csv,2026-02-10T22:25:28.068809
INV-C695541A,1,PRD-000327,Bulk purchase - Line 1,384,320.72,123156.48,invoices.csv,2026-02-10T22:25:28.068809
INV-C695541A,2,PRD-000430,Bulk purchase - Line 2,29,443.84,12871.36,invoices.csv,2026-02-10T22:25:28.068809
INV-C695541A,3,PRD-000488,Bulk purchase - Line 3,178,241.33,42956.74,invoices.csv,2026-02-10T22:25:28.068809
INV-C695541A,4,PRD-000038,Bulk purchase - Line 4,471,44.58,20997.18,invoices.csv,2026-02-10T22:25:28.068809
INV-E1A916C3,1,PRD-000153,Bulk purchase - Line 1,297,74.65,22171.05,invoices.csv,2026-02-10T22:25:28.068809
INV-E1A916C3,2,PRD-000282,Bulk purchase - Line 2,468,150.42,70396.56,invoices.csv,2026-02-10T22:25:28.068809
INV-E1A916C3,3,PRD-000024,Bulk purchase - Line 3,17,15.09,256.53,invoices.csv,2026-02-10T22:25:28.068809
INV-E1A916C3,4,PRD-000389,Bulk purchase - Line 4,134,209.91,28127.94,invoices.csv,2026-02-10T22:25:28.068809
INV-E1A916C3,5,PRD-000248,Bulk purchase - Line 5,131,625.49,81939.19,invoices.csv,2026-02-10T22:25:28.068809
INV-A20703F7,1,PRD-000123,Bulk purchase - Line 1,66,241.15,15915.9,invoices.csv,2026-02-10T22:25:28.068809
INV-A20703F7,2,PRD-000329,Bulk purchase - Line 2,188,183.26,34452.88,invoices.csv,2026-02-10T22:25:28.068809
INV-A20703F7,3,PRD-000104,Bulk purchase - Line 3,91,180.1,16389.1,invoices.csv,2026-02-10T22:25:28.068809
INV-A20703F7,4,PRD-000314,Bulk purchase - Line 4,344,92.25,31734.0,invoices.csv,2026-02-10T22:25:28.068809
INV-DE6B152F,1,PRD-000182,Bulk purchase - Line 1,122,47.14,5751.08,invoices.csv,2026-02-10T22:25:28.068809
INV-DE6B152F,2,PRD-000080,Bulk purchase - Line 2,122,349.07,42586.54,invoices.csv,2026-02-10T22:25:28.068809
INV-DE6B152F,3,PRD-000171,Bulk purchase - Line 3,173,172.26,29800.98,invoices.csv,2026-02-10T22:25:28.068809
INV-DE6B152F,4,PRD-000275,Bulk purchase - Line 4,284,245.77,69798.68,invoices.csv,2026-02-10T22:25:28.068809
INV-DE6B152F,5,PRD-000017,Bulk purchase - Line 5,102,153.67,15674.34,invoices.csv,2026-02-10T22:25:28.068809
INV-3A3902E3,1,PRD-000336,Bulk purchase - Line 1,258,45.56,11754.48,invoices.csv,2026-02-10T22:25:28.068809
INV-3A3902E3,2,,Bulk purchase - Line 2,482,134.18,64674.76,invoices.csv,2026-02-10T22:25:28.068809
INV-3A3902E3,3,PRD-000329,Bulk purchase - Line 3,492,183.26,90163.92,invoices.csv,2026-02-10T22:25:28.068809
INV-87947A06,1,,Bulk purchase - Line 1,206,151.34,31176.04,invoices.csv,2026-02-10T22:25:28.068809
INV-87947A06,2,PRD-000435,Bulk purchase - Line 2,361,392.79,141797.19,invoices.csv,2026-02-10T22:25:28.068809
INV-87947A06,3,PRD-000490,Bulk purchase - Line 3,158,55.2,8721.6,invoices.csv,2026-02-10T22:25:28.068809
INV-FA268CAC,1,PRD-000013,Bulk purchase - Line 1,403,168.1,67744.3,invoices.csv,2026-02-10T22:25:28.068809
INV-FA268CAC,2,PRD-EXTERNAL-3422,Bulk purchase - Line 2,415,179.88,74650.2,invoices.csv,2026-02-10T22:25:28.068809
INV-FA268CAC,3,PRD-000047,Bulk purchase - Line 3,223,-239.81,-53477.63,invoices.csv,2026-02-10T22:25:28.068809
INV-FA268CAC,4,PRD-000083,Bulk purchase - Line 4,94,419.79,39460.26,invoices.csv,2026-02-10T22:25:28.068809
INV-FA268CAC,5,PRD-000007,Bulk purchase - Line 5,210,290.06,60912.6,invoices.csv,2026-02-10T22:25:28.068809
INV-C05C7C43,1,PRD-000431,Bulk purchase - Line 1,178,68.3,12157.4,invoices.csv,2026-02-10T22:25:28.068809
INV-C05C7C43,2,PRD-000249,Bulk purchase - Line 2,208,416.74,86681.92,invoices.csv,2026-02-10T22:25:28.068809
INV-C05C7C43,3,,Bulk purchase - Line 3,458,111.82,51213.56,invoices.csv,2026-02-10T22:25:28.068809
INV-C05C7C43,4,,Bulk purchase - Line 4,97,59.97,5817.09,invoices.csv,2026-02-10T22:25:28.068809
INV-C05C7C43,5,PRD-000268,Bulk purchase - Line 5,16,376.08,6017.28,invoices.csv,2026-02-10T22:25:28.068809
INV-0A5CEADF,1,PRD-000071,Bulk purchase - Line 1,151,548.98,82895.98,invoices.csv,2026-02-10T22:25:28.068809
INV-0A5CEADF,2,,Bulk purchase - Line 2,16,45.04,720.64,invoices.csv,2026-02-10T22:25:28.068809
INV-0A5CEADF,3,PRD-000205,Bulk purchase - Line 3,204,230.24,46968.96,invoices.csv,2026-02-10T22:25:28.068809
INV-0A5CEADF,4,PRD-000190,Bulk purchase - Line 4,490,437.75,214497.5,invoices.csv,2026-02-10T22:25:28.068809
INV-0A5CEADF,5,PRD-000409,Bulk purchase - Line 5,81,328.67,26622.27,invoices.csv,2026-02-10T22:25:28.068809
INV-0A5CEADF,6,PRD-000215,Bulk purchase - Line 6,193,146.99,28369.07,invoices.csv,2026-02-10T22:25:28.068809
